District,Name,lat,lon,soil_id
Ariyalur,Ariy,11.1502,79.224,IN04089830
Chengalpattu,Cheg,12.654,80.0098,IN04012080
Chennai,Chen,13.0747,80.2677,IN03990483
Coimbatore,Coim,10.9947,76.9669,IN04098443
Cuddalore,Cudd,11.7555,79.7623,IN04055277
Dharmapuri,Dhar,12.1348,78.1612,IN04037977
Dindigul,Dind,10.3619,77.9689,IN04128695
Erode,Erod,11.3343,77.7277,IN04076852
Kallakurichi,Kall,11.7304,78.9668,IN04059587
Kancheepuram,Kanc,12.8348,79.7157,IN03999116
Kanniyakumari,Kann,8.1759,77.441,IN04241009
Karaikal,Karu,10.9233,79.8474,IN04098478
Karur,Kkal,10.9489,78.0868,IN04098457
Krishnagiri,Kris,12.5338,78.2285,IN04016378
Madurai,Madu,9.9249,78.1294,IN04150297
Mayiladuthurai,Mayi,11.1045,79.6653,IN04089835
Nagapattinam,Naga,10.7706,79.8349,IN04107118
Namakkal,Nama,11.2258,78.1718,IN04085498
The Nilgiris,Nilg,11.4155,76.7059,IN04076840
Perambalur,Pera,11.2431,78.8664,IN04085506
Pondicherry,Pond,11.9453,79.8267,IN04046637
Pudukkottai,Pudu,10.3839,78.8122,IN04128705
Ramanathapuram,Rama,9.3635,78.841,IN04180546
Ranipettai,Rani,12.9415,79.3334,IN03994791
Salem,Sale,11.6582,78.153,IN04063897
Sivaganga,Siva,9.8603,78.4816,IN04154621
Tenkasi,Tenk,8.957,77.3213,IN04202127
Thanjavur,Than,10.7851,79.1384,IN04107109
Theni,Then,9.9996,77.4644,IN04150289
Thiruvallur,Vall,13.1538,79.9152,IN03986158
Thiruvarur,Varu,10.7809,79.6265,IN04107115
Thoothukkudi,Kudi,8.8102,78.1489,IN04210777
Tiruchirappalli,Pall,10.8223,78.681,IN04107104
Tirunelveli,Veli,8.7301,77.6925,IN04215092
Tirupattoor,Toor,10.1092,78.6025,IN04141663
Tiruppur,Ppur,11.1302,77.3488,IN04089808
Tiruvannamalai,Mala,12.2334,79.0743,IN04033668
Vellore,Vell,12.9096,79.1392,IN03999109
Viluppuram,Vilu,11.937,79.4873,IN04046633
Virudhunagar,Viru,9.594,77.9527,IN04167575
